query_id,question,method,MRR_component,Precision@1,Recall@1,nDCG@1,Precision@3,Recall@3,nDCG@3,Precision@5,Recall@5,nDCG@5,Precision@10,Recall@10,nDCG@10
Q01,How is AI helping to diagnose inherited diseases at an early stage?,semantic,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.8875385049894211,1.0,1.0,0.9751981169526139
Q01,How is AI helping to diagnose inherited diseases at an early stage?,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q01,How is AI helping to diagnose inherited diseases at an early stage?,hybrid_rrf,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.8875385049894211,1.0,1.0,0.9751981169526139
Q01,How is AI helping to diagnose inherited diseases at an early stage?,hybrid_reranked,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,1.0,1.0,1.0,0.9887983782322207
Q02,What are inherited metabolic diseases? Give me some examples.,semantic,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.9165323715184533,1.0,1.0,0.9740448731615783
Q02,What are inherited metabolic diseases? Give me some examples.,lexical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q02,What are inherited metabolic diseases? Give me some examples.,hybrid_rrf,1.0,1.0,0.1,1.0,1.0,0.3,1.0,1.0,0.5,0.9165323715184533,1.0,1.0,0.9740448731615783
Q02,What are inherited metabolic diseases? Give me some examples.,hybrid_reranked,1.0,1.0,0.1,1.0,1.0,0.3,0.8308103365909342,1.0,0.5,0.8777221344374128,1.0,1.0,0.9459385534161396
Q03,Did COVID affect people with genetic or inherited diseases in any way?,semantic,1.0,1.0,0.125,1.0,1.0,0.375,0.8659203639934981,1.0,0.625,0.9030970842075382,0.8,1.0,0.9716906716285161
Q03,Did COVID affect people with genetic or inherited diseases in any way?,lexical,1.0,1.0,0.125,1.0,0.3333333333333333,0.125,0.4692787260227565,0.2,0.125,0.3391602052736161,0.1,0.125,0.2791173330531917
Q03,Did COVID affect people with genetic or inherited diseases in any way?,hybrid_rrf,1.0,1.0,0.125,1.0,1.0,0.375,1.0,0.8,0.5,0.778957320150241,0.6,0.75,0.8097901441534705
Q03,Did COVID affect people with genetic or inherited diseases in any way?,hybrid_reranked,1.0,1.0,0.125,1.0,1.0,0.375,0.8308103365909342,1.0,0.625,0.8777221344374128,0.6,0.75,0.8217591144375084
Q04,What is Harlequin Ichthyosis?,semantic,1.0,1.0,0.14285714285714285,0.42857142857142855,1.0,0.42857142857142855,0.4780562328733975,1.0,0.7142857142857143,0.6346652888075585,0.7,1.0,0.7728871984736098
Q04,What is Harlequin Ichthyosis?,lexical,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,0.7462155048864012,1.0,0.7142857142857143,0.7718897628272892,0.7,1.0,0.9046374340531026
