query_id,question,chunk_id,document_id,section_title,publication_year,authors,journal,retrieved_by,semantic_rank,lexical_rank,hybrid_rrf_rank,hybrid_reranked_rank,relevance_grade,judgment_notes,content
Q01,How is AI helping to diagnose inherited diseases at an early stage?,6809,203,Approach to variant analysis,2026,"['Wilk EJ', 'Taluri S', 'Howton TC', 'Crumley AB', 'Mrug M', 'Lasseigne BN']",Human genetics,hybrid_reranked|hybrid_rrf|semantic,1,,1,1,3,Explica claramente como la IA contribuye al diagnóstico temprano de enfermedades raras.,"AI is emerging at a time when clinical genetics faces its greatest gap between knowledge and practice. To prevent the diagnostic odyssey (Fig. 1 ), physicians must first recognize patients who would benefit from genetic testing. Genetic diseases typically present with a constellation of symptoms (e.g., dysmorphism, early-onset, and/or multi-system involvement); therefore, AI could assist in determining when genetic testing may be appropriate (e.g., FACE2GENE (Gurovich et al. 2019 ). For instance, AI integrations in electronic health records (EHRs) could detect potential patients, even those with subtle clinical presentations (Ye et al. 2024; Yang et al. 2022 ). AI can also support physician training in genetic results interpretation through adaptive educational modules (Hajek et al. 2022 ). After sequencing, variant analysis processes the data in four key steps: variant calling, annotation, prioritization, and interpretation (Fig. 1 ). AI/ML tools have already streamlined variant calling by reducing manual filtering and improving scalability. Examples of this include Google’s DeepVariant (Poplin et al. 2018 ), DNAscope (Freed et al. 2022; Hu et al. 2025 ), DeepTrio (Hu et al. 2022 ), Clair3 (Su et al. 2022 ), Medaka (Nagy et al. 2026 ), and HELLO (Ramachandran et al. 2021 ). These tools offer speed and generalizability across sequencing platforms (Abdelwahab et al. 2023; Brand et al. 2024; Abdelwahab and Torkamaneh 2025 ). Following"
Q01,How is AI helping to diagnose inherited diseases at an early stage?,8493,251,Subtheme 1.1: Rapid Access to Rare Disease Knowledge,2026,"['Blease C', 'Jones J', 'Blease CE', 'Kharko A', 'Garcia Sanchez C', 'Mandl KD']",Journal of participatory medicine,hybrid_reranked|hybrid_rrf|semantic,2,,2,4,3,Explica claramente como la IA contribuye al diagnóstico temprano de enfermedades raras.,"A recurring emphasis in participants’ accounts was the speed and accessibility of information that GenAI provided—particularly in contexts where clinical time is limited and rare disease expertise is scarce: AI helps to find extra information really fast. [#41, 45-54 years, Parent/Guardian] It’s been helpful for asking a million questions the doctors don’t have time for. [#92, 35-44 years, Parent/Guardian] The second account is especially revealing: it locates GenAI’s value not in replacing the clinician but in absorbing the questions that the clinical encounter cannot accommodate. Against our finding that respondents consulted a mean of 7.3 (SD 12.0) clinicians before diagnosis, this points to GenAI filling the interstitial spaces of fragmented care pathways. Several respondents underscored the value of rapid access in contrast with their own diagnostic histories, expressing regret that these tools had not been available to them earlier: My son was diagnosed before AI in 2018. But I would have used AI if it were available back then to try and find the answers. [#4, 35-44 years, Parent/Guardian] At the time of my daughter’s diagnosis, this was not available. But I am also a rare disease patient,...and do see the value when looking for quick information. [#12, 35-44 years, Parent/Guardian]"
Q01,How is AI helping to diagnose inherited diseases at an early stage?,8072,239,Introduction,2026,"['Till H', 'Elsayed H', 'Obermüller B', 'Gnatzy R', 'Lacher M', 'Tschauner S', 'Verhoeven R', 'Wijnen RMH', 'Singer G', 'ERNICA AI Task Force Members']",European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie,hybrid_reranked|hybrid_rrf|semantic,3,,3,2,3,Se centra en el uso de IA para apoyar el diagnóstico lo cual es la idea primordial a pesar de que se centra en las limitaciones actuales debido a la falta de conocimiento por parte de los profesionales.,"Although artificial intelligence (AI) is increasingly applied across healthcare, its role in supporting the diagnosis and management of rare congenital anomalies—central to the mission of the European Reference Network for rare Inherited and Congenital Anomalies (ERNICA)—remains underexplored and urgently requires clarification. 1 2 3 4 In rare diseases, where diagnostic complexity, fragmented care pathways, and limited data pose persistent challenges, AI may offer substantial support in improving diagnosis, risk stratification, and clinical decision-making to potentially anybody worldwide at any time. 5 6 7 Despite the rising prominence of AI in healthcare, there is still a substantial gap between awareness and practical AI competencies of healthcare professionals. 8 For many clinicians, AI remains a largely non-transparent concept—frequently referenced but poorly understood. This knowledge gap could be especially significant in multidisciplinary teams where diverse roles and skill sets influence how AI is perceived and used. 9 ERNICA brings together pediatric surgeons, pediatricians, radiologists, geneticists, nurses, and patient representatives across Europe and beyond. Its transnational and multidisciplinary structure makes it both a unique model of collaborative care and a challenging setting to explore how emerging technologies like AI are integrated into practice. Through initiatives such as workshops, conferences, webinars, and collaborative projects, ERNICA could serve as a catalyst for the integration of AI in pediatric surgery. Understanding the current level of AI awareness,"
Q01,How is AI helping to diagnose inherited diseases at an early stage?,8070,239,Abstract,2026,"['Till H', 'Elsayed H', 'Obermüller B', 'Gnatzy R', 'Lacher M', 'Tschauner S', 'Verhoeven R', 'Wijnen RMH', 'Singer G', 'ERNICA AI Task Force Members']",European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie,hybrid_reranked|hybrid_rrf|semantic,4,,4,3,3,Similar al chunk anterior.,"Introduction Artificial intelligence (AI) is increasingly recognized as a transformative force in healthcare. In the field of rare diseases, AI can enhance diagnostic accuracy and facilitate knowledge-sharing across borders. To effectively contribute to the development and use of AI-based medical support systems, clinicians must provide specialized AI competencies. This survey assesses the AI readiness, educational needs, and perceptions of members within the European Reference Network for Rare Inherited and Congenital Anomalies (ERNICA). Methods A structured online survey consisting of 22 questions was distributed to 389 ERNICA members, collecting data on demographics, AI awareness, current use, educational needs, concerns, and future expectations. Results A total of 89 members responded (23%), representing a multidisciplinary group with varying experience. Most respondents (94%) reported no formal AI training yet, and rated their AI knowledge as basic (66%) or intermediate (26%). About 48% of the participants stated using AI applications already. Key educational needs included online courses and webinars. Major concerns focused on the reliability and accuracy of AI tools (80%) and ethical implications (71%). At the same time, 55% expect ERNICA to take a leading role in AI education in the diagnosis and management of rare gastrointestinal diseases. Conclusion This survey among ERNICA members revealed a definite gap of AI understanding and training. Addressing these issues requires tailored educational initiatives focused on practical AI"
Q01,How is AI helping to diagnose inherited diseases at an early stage?,7873,231,Limitations,2026,"['Li C', 'Dai Z', 'Tang WC', 'Gao Z', 'Chan VKY', 'Ramirez-Posada M', 'Kim J', 'Linos E', 'Cheung CL', 'Wong ICK', 'Dong D', 'To M', 'Craig D', 'Li X']",Journal of medical Internet research,hybrid_reranked|hybrid_rrf|semantic,5,,5,7,1,Capta algo de la pregunta pero se centra en AI-assisted workflows para realizar revisiones de literatura científica.,"trials were also hand-searched for additional eligible studies, which may have partially mitigated the risk of missing relevant evidence. Given that this review provides some of the first evidence on the use of AI in a rare genetic disorder with a relatively small evidence base, future research should replicate similar AI-assisted workflows in scientific fields with larger and more complex datasets to determine how well AI performs in reviews involving larger evidence bases."
Q01,How is AI helping to diagnose inherited diseases at an early stage?,6808,203,Introduction,2026,"['Wilk EJ', 'Taluri S', 'Howton TC', 'Crumley AB', 'Mrug M', 'Lasseigne BN']",Human genetics,hybrid_reranked|hybrid_rrf|semantic,6,,6,6,3,Habla como los LLMs pueden optimizar largos procesos de diagnóstico genético.,"al. 2023; Agaoglu et al. 2022; Lin et al. 2023 ), complicating patient care. However, automation that leverages all available clinical, molecular, and population data in a standardized, reproducible manner could help reduce these issues. Artificial intelligence (AI), tools with ”human-like reasoning” built from a variety of machine learning (ML) models and/or large language models (LLMs) (reviewed in Russell and Norvig 2021; Janiesch et al. 2021; Koteluk et al. 2021; Nichols et al. 2019 ), can optimize labor- and knowledge-intensive steps throughout the genetic testing process. In this perspective (Table 1 ), we highlight opportunities, challenges, and recommendations for incorporating AI into variant analysis to support clinical genetic testing and research. Fig. 1 Flowchart demonstrates targeted AI opportunities at each step of the genetic diagnostic workflow. Created in BioRender. https://BioRender.com/6xxko8q Descriptive caption: Flowchart illustrating AI integration opportunities in genetic diagnostics, progressing through five stages: Clinician Visit, Sequencing & QC, Variant Calling, Variant Annotation, Variant Interpretation, and Diagnosis & Treatment. Each stage is represented by colored circles with icons and brief descriptions highlighting improvements such as increased accuracy, generalizability, data extrapolation, variant prioritization, and support for results interpretation."
Q01,How is AI helping to diagnose inherited diseases at an early stage?,8071,239,Abstract,2026,"['Till H', 'Elsayed H', 'Obermüller B', 'Gnatzy R', 'Lacher M', 'Tschauner S', 'Verhoeven R', 'Wijnen RMH', 'Singer G', 'ERNICA AI Task Force Members']",European journal of pediatric surgery : official journal of Austrian Association of Pediatric Surgery ... [et al] = Zeitschrift fur Kinderchirurgie,hybrid_reranked|hybrid_rrf|semantic,7,,7,8,2,Algo relevante pero no explica concretamente cómo la IA realiza o mejora el diagnóstico,"leading role in AI education in the diagnosis and management of rare gastrointestinal diseases. Conclusion This survey among ERNICA members revealed a definite gap of AI understanding and training. Addressing these issues requires tailored educational initiatives focused on practical AI applications, ethical considerations, and interpretability. By adopting a proactive role in AI capacity-building, ERNICA could contribute to responsible and effective integration of AI into rare disease care."
Q01,How is AI helping to diagnose inherited diseases at an early stage?,2718,75,AI orchestration: end-to-end care,2026,"['Ho ML', 'Zitnik M', 'Azachi R', 'Basu S', 'Rajpurkar P', 'Sidlow R']",Health and technology,hybrid_reranked|hybrid_rrf|semantic,8,,8,9,3,Dice claramente como herramientas de AI ayudan a los procesos de diagnóstico de enfermedades raras.,"10 Within the booming RD market, numerous research and commercial AI tools are emerging for each stage of care: population screening and deep phenotyping, genomic interpretation and integrated diagnosis, target identification and therapy design, model validation and iteration, manufacturing and deployment. These initial prototypes can be further developed into autonomous AI agents that are fine-tuned to specific domains, perform complex multi-step reasoning, update knowledge from database/literature searches, and dynamically learn from feedback. The final layer involves an AI orchestrator agent that connects modular domain-specific agents and integrates expert human supervision at critical decision points. This multi-agent system can be utilized to manage the RD diagnostic and therapeutic odyssey from end-to-end, including reinforcement learning, experimentation, and collaborative decision making [ 74 – 77 ]. Orchestrated AI represents the ideal paradigm for RD care: seamless connection of evolving data, research, and testing capabilities to find a personalized cure for each individual [ 78 ]."
Q01,How is AI helping to diagnose inherited diseases at an early stage?,4407,130,Introduction,2026,"['Lei C', 'Zuo Y', 'Lopes CA', 'Stuart J', 'Xu B', 'Liu TYA', 'Ploug T', 'Wang Z', 'Dang K', 'Jin K', 'Yu H', 'Tatere HY', 'Kong F', 'Zhang N', 'Zhang L', 'Zhou H']","Patterns (New York, N.Y.)",hybrid_reranked|hybrid_rrf|semantic,9,,9,10,3,Indica hasta que es IA y como está ayudando a la detección de enfermedades raras.,"equity for RD communities, defined as the fair distribution of healthcare resources and opportunities that allow all individuals to achieve comparable health outcomes regardless of disease rarity. At the 2025 World Health Assembly, the World Health Organization (WHO) spotlighted RDs by exploring technological innovations, including artificial intelligence (AI), to enhance access to specialists and treatments. 6 AI refers to technologies that enable machines to perform tasks requiring human-like intelligence. It includes machine learning (ML), with deep learning (DL) dominating current medical applications. 7 These innovations are transforming RD care by detecting subtle patterns in complex data, such as genomics and medical imaging, while also reducing diagnostic development costs and easing reliance on limited clinical expertise ( Figure 1 ). 8, 9, 10 For example, a DL-based point-of-care screening tool using facial images was developed to detect 128 genetic syndromes in children. 11 Recent advances of foundation models further demonstrate their emerging promise in RD care. For example, MedFound, a 176-billion-parameter language model, achieved 80.7% top-3 diagnostic accuracy across 2,105 RDs in zero-shot evaluation settings. 12 Figure 1 AI applications in rare disease care Four aspects: pediatric risk detection, phenotype-driven diagnosis, orphan drug discovery, and tailored care pathways. However, RD is structurally distinguished from common conditions in ways that fundamentally reshape the ethical, technical, and policy landscape for AI deployment. These"
Q01,How is AI helping to diagnose inherited diseases at an early stage?,3517,99,Discussion,2026,"['Tu T', 'Saab K', 'Liu W', 'Fang Z', 'Cheng Z', 'Spasic S', 'Djurisic M', 'Mohri H', 'Ren W', 'Palepu A', 'Gottweis J', 'Karthikesalingam A', 'Kulkarni K', 'Pawlosky A', 'Bonner D', 'Kravets E', 'Marwaha S', 'Mendez HR', 'Wheeler MT', 'Bernstein JA', 'Undiagnosed Diseases Network', 'Tsai CY', 'Wu CC', 'Stankovic KM', 'Natarajan V', 'Peltz G']","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",hybrid_reranked|hybrid_rrf|semantic,10,,10,5,3,Indica como la IA está ayudando a la detección de enfermedades raras.,"of our system on this task. These results indicate that AI‐based methods could subsequently be used to efficiently determine the genetic basis for the estimated ∼350 M people globally [ 66 ] with suspected genetic diseases [ 67 ] or rare undiagnosed syndromes [ 68 ]. More broadly, since an increasing number of individuals will have their genomes sequenced, AI‐based methods could improve healthcare for billions of individuals by providing access to precision genomic health. Automated methods for the interpretation of clinical and genetic data will allow people to access definitive therapies in a timely manner. Furthermore, enabling individuals to better understand the impact of their genetic determinants could have a far‐reaching and transformative impact on public health: medical practice could shift from its current focus on disease treatment toward disease prevention; customized plans for disease prevention could be developed based upon genetic factors. Our findings also indicate how LLM genetic discovery performance can be improved. First, by analyzing LLM predictions, which were not associated with an analyzed trait, we identified at least two factors that contribute to the false associations generated by LLMs (which are referred to as ‘ hallucinations ’). (i) The tokenizer (i.e., which breaks down a piece of text into tokens) has difficulty analyzing gene symbols, which consist of letters (often acronyms) and numbers. Tokenizers can"
